video_id,user_id,views,captions,subtitles
2027,3,11431,"jokes, memes","Enjoy a set of jokes, memes, and funny clips I’ve put together."
2028,2,21267,"bible, prayer",Join me for a time of scripture reading and prayer together.
2029,8,11043,"makeup tutorial, beauty tips",I’m sharing my favorite skincare hacks and beauty advice in today’s video.
2030,15,10292,"soccer workout, endurance",This training session covers soccer practice routines you can try yourself.
2031,15,12294,"soccer drills, fitness",Let’s train together! Today I’m going through a soccer workout to build stamina.
2032,3,20864,"comedy, meme",This video is packed with comedy skits and internet humor for a good time.
2033,14,24081,"travel diary, exploring",Travel with me as I document my journey and show you the sights I visited.
2034,14,12012,"adventure, trip highlights","Join me as I explore a new city, sharing highlights and travel tips along the way."
2035,15,7825,"soccer workout, endurance",I’m sharing a fitness guide that mixes soccer drills with overall conditioning.
2036,12,24734,"bible verse, reflection",In this devotion I’ll share a verse and then guide a prayer session for encouragement.
2037,1,24017,"fps, gaming highlights",Jump into the action with me as I play an FPS match and talk through strategies.
2038,12,11942,"bible study, scripture reading",Today we’ll read a passage from the Bible and reflect on its meaning in our lives.
2039,9,6314,"music cover, acoustic guitar",Sit back and enjoy as I perform an acoustic guitar cover of a popular song.
2040,3,19834,"jokes, memes",Here’s a funny compilation of memes that had me laughing nonstop.
2041,5,5109,"fitness tips, soccer practice",Let’s train together! Today I’m going through a soccer workout to build stamina.
2042,7,17677,"tech, computer guide",This video explains a step-by-step PC guide for better productivity.
2043,10,7945,"easy dinner, food tutorial",Let’s bake and cook together — I’ll show you a simple way to create a delicious meal.
2044,4,24761,"travel diary, exploring","Join me as I explore a new city, sharing highlights and travel tips along the way."
2045,4,14366,"travel diary, exploring",Here’s a travel diary where I share experiences from my recent trip.
2046,2,3930,"bible, prayer",Here’s a short Bible study where I reflect on scripture and pray with you.
2047,14,21842,"adventure, trip highlights",Come along on this adventure as I explore nature and cultural spots.
2048,4,22818,"adventure, trip highlights",Travel with me as I document my journey and show you the sights I visited.
2049,10,11091,"home cooking, delicious recipe","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating."
2050,2,19077,"bible verse, reflection",Here’s a short Bible study where I reflect on scripture and pray with you.
2051,13,24613,"funny, meme compilation",I created this comedy sketch to brighten your day and make you smile.
2052,1,15238,"valorant, clutch gameplay",Jump into the action with me as I play an FPS match and talk through strategies.
2053,7,11768,"tech, computer guide",I’ll show you how to optimize your computer and explore new software features.
2054,9,10003,"music cover, acoustic guitar",In this video I’ll play a guitar cover and talk about why I love this piece.
2055,12,22877,"bible study, scripture reading",In this devotion I’ll share a verse and then guide a prayer session for encouragement.
2056,14,20266,"adventure, trip highlights",Come along on this adventure as I explore nature and cultural spots.
2057,14,3752,"journey, travel guide","Join me as I explore a new city, sharing highlights and travel tips along the way."
2058,13,8005,"jokes, memes",I created this comedy sketch to brighten your day and make you smile.
2059,8,15547,"makeup tutorial, beauty tips",In this video I’ll share a makeup tutorial with tips for beginners.
2060,8,6285,"beauty, skincare routine",Here’s a step-by-step guide to achieving this makeup look.
2061,15,12713,"fitness tips, soccer practice",Follow along as I do exercises focused on strength and endurance for athletes.
2062,9,19502,"music cover, acoustic guitar",Watch this live music session where I share one of my favorite covers.
2063,2,24260,"bible study, scripture reading",In this devotion I’ll share a verse and then guide a prayer session for encouragement.
2064,14,3152,"journey, travel guide",In this vlog I’m taking you with me on an adventure to discover amazing places.
2065,7,6613,"tech review, pc setup",In this tutorial I’ll share useful Windows tips and tricks for your PC.
2066,10,12183,"cooking, food, recipe",Welcome to my kitchen! Today I’ll guide you through a recipe and share some personal cooking tips.
2067,14,8691,"journey, travel guide","Join me as I explore a new city, sharing highlights and travel tips along the way."
2068,13,19707,"funny, meme compilation","Enjoy a set of jokes, memes, and funny clips I’ve put together."
2069,8,12626,"beauty hacks, skincare tips",I’m sharing my favorite skincare hacks and beauty advice in today’s video.
2070,13,17377,"jokes, memes",This video is packed with comedy skits and internet humor for a good time.
2071,3,11099,"funny, internet humor",I created this comedy sketch to brighten your day and make you smile.
2072,1,24658,"gaming, ranked match",Jump into the action with me as I play an FPS match and talk through strategies.
2073,15,20370,"fitness, soccer, training",Follow along as I do exercises focused on strength and endurance for athletes.
2074,6,20924,"sports, hockey recap",I’m reviewing hockey plays and sharing my perspective as a fan.
2075,7,4086,"tech review, pc setup",This video explains a step-by-step PC guide for better productivity.
2076,11,11754,"valorant, clutch gameplay",Watch this intense Valorant gameplay where I break down how I won clutch rounds.
2077,11,23392,"fps, gaming",In this session I’ll share tips and tricks for improving aim and movement in FPS games.
2078,8,17008,"beauty, skincare routine",Watch me go through my skincare routine and explain why I use these products.
2079,6,15256,"sports highlights, hockey",Here are some hockey highlights and my take on recent NHL games.
2080,6,8234,"nhl game, hockey analysis",Here are some hockey highlights and my take on recent NHL games.
2081,9,11606,"music cover, acoustic guitar",I’m performing a guitar cover and adding my own style to the music.
2082,5,4325,"soccer workout, endurance",Let’s train together! Today I’m going through a soccer workout to build stamina.
2083,10,24839,"cooking, food, recipe","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating."
2084,10,4442,"homemade meal, cooking guide","In this video I’m preparing a homemade dish, explaining each step so you can follow along easily."
2085,11,20066,"fps, gaming",Watch this intense Valorant gameplay where I break down how I won clutch rounds.
2086,5,7826,"soccer drills, fitness",Follow along as I do exercises focused on strength and endurance for athletes.
2087,8,3587,"skincare, makeup haul",I’m sharing my favorite skincare hacks and beauty advice in today’s video.
2088,5,9105,"strength training, soccer",Follow along as I do exercises focused on strength and endurance for athletes.
2089,10,24461,"baking, kitchen tips","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating."
2090,7,4853,"tech review, pc setup",This video explains a step-by-step PC guide for better productivity.
2091,9,14641,"acoustic guitar, cover song",I’m performing a guitar cover and adding my own style to the music.
2092,14,3537,"travel diary, exploring",Here’s a travel diary where I share experiences from my recent trip.
2093,12,18255,"bible study, scripture reading",Today we’ll read a passage from the Bible and reflect on its meaning in our lives.
2094,1,21240,"gaming, ranked match",Jump into the action with me as I play an FPS match and talk through strategies.
2095,4,20320,"journey, travel guide",Here’s a travel diary where I share experiences from my recent trip.
2096,7,7776,"pc, tech, windows",This video explains a step-by-step PC guide for better productivity.
2097,12,4319,"bible, prayer",In this devotion I’ll share a verse and then guide a prayer session for encouragement.
2098,12,17409,"christian, prayer session",Join me for a time of scripture reading and prayer together.
2099,11,6142,"valorant, clutch gameplay",Here’s a ranked gaming match with commentary on positioning and decision making.
2100,7,12463,"software tutorial, windows",Here’s a tech review where I go over setup and performance improvements.
