video_id,user_id,comment,label,is_quality_related,quality_label
200,1199,Ong you go girl. Don’t come back. ,negative,False,1
400,1399,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
466,1465,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
177,1176,This gave me main character energy  ,positive,False,1
99,1098,Lowkey the best thing on my FYP today ,positive,False,1
362,1361,Bro thought he ate  ,negative,False,1
417,1416,"This made my whole day better, tysm! ",positive,False,1
348,1347,"Unwatchable, my eyes need therapy",negative,True,0
351,1350,That edit was painful to sit through,negative,True,0
480,1479,"Unwatchable, my eyes need therapy ",negative,True,0
100,1099,How are you real?? Unreal talent ,positive,False,1
360,1359,"Certified slay, no notes  ",positive,False,1
449,1448,This was kinda mid ngl ,negative,False,1
375,1374,"Meh, it’s fine I guess ",neutral,False,1
453,1452,"Meh, it’s fine I guess ",neutral,False,1
61,1060,Why are you so perfect? Are you a toaster?,positive,False,1
439,1438,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
451,1450,"Yo, dude, you won't believe what just happened. ",neutral,False,1
276,1275,Ong you go girl. Don’t come back. ,negative,False,1
407,1406,How are you real?? Unreal talent ,positive,False,1
247,1246,"Solid attempt, could be better ",neutral,False,1
56,1055,How are you real?? Unreal talent ,positive,False,1
256,1255,"Meh, it’s fine I guess ",neutral,False,1
476,1475,How are you real?? Unreal talent,positive,False,1
438,1437,Lowkey the best thing on my FYP today ,positive,False,1
477,1476,Bro thought he ate  ,negative,False,1
225,1224,This was kinda mid ngl,negative,False,1
399,1398,"Drip is immaculate, I’m stealing this look  ",positive,False,1
33,1032,Worst thing on my FYP today ,negative,False,1
274,1273,That edit was painful to sit through ,negative,True,0
318,1317,Your video just cured my depression. Do you take cash or card? ,positive,False,1
98,1097,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
168,1167,Why are you so perfect? Are you a toaster? ,positive,False,1
169,1168,"Yo, dude, you won't believe what just happened. ",neutral,False,1
108,1107,Ong you go girl. Don’t come back. ,negative,False,1
208,1207,"Couldn’t finish watching, had to scroll ",negative,True,0
422,1421,"Yo, dude, you won't believe what just happened.",neutral,False,1
332,1331,How are you real?? Unreal talent ,positive,False,1
413,1412,"Unwatchable, my eyes need therapy ",negative,True,0
421,1420,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
364,1363,"Solid attempt, could be better ",neutral,False,1
268,1267,Pretty mid but I see the effort ,neutral,False,1
470,1469,"Drip is immaculate, I’m stealing this look  ",positive,False,1
479,1478,"Couldn’t finish watching, had to scroll ",negative,True,0
75,1074,"Solid attempt, could be better ",neutral,False,1
313,1312,"Certified slay, no notes  ",positive,False,1
392,1391,"Couldn’t finish watching, had to scroll ",negative,True,0
427,1426,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
14,1013,Singing is a gift. U didn’t receive it.,negative,False,1
57,1056,Worst thing on my FYP today ,negative,False,1
66,1065,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
127,1126,"Couldn’t finish watching, had to scroll ",negative,True,0
243,1242,Bro thought he ate  ,negative,False,1
336,1335,"Unwatchable, my eyes need therapy ",negative,True,0
90,1089,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
267,1266,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
233,1232,"Certified slay, no notes ",positive,False,1
459,1458,The editing? The vibes? Chef’s kiss  ,positive,True,2
469,1468,Lowkey the best thing on my FYP today ,positive,False,1
239,1238,Pretty mid but I see the effort ,neutral,False,1
103,1102,Your video just cured my depression. Do you take cash or card? ,positive,False,1
132,1131,"Didn’t hate it, didn’t love it ",neutral,False,1
264,1263,"Drip is immaculate, I’m stealing this look ",positive,False,1
448,1447,Worst thing on my FYP today ,negative,False,1
455,1454,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
277,1276,Ong you go girl. Don’t come back. ,negative,False,1
46,1045,This was kinda mid ngl ,negative,False,1
331,1330,"Average content, nothing special ",neutral,False,1
468,1467,Bro thought he ate  ,negative,False,1
406,1405,Ong you go girl. Don’t come back. ,negative,False,1
172,1171,"Didn’t hate it, didn’t love it ",neutral,False,1
341,1340,"Meh, it’s fine I guess ",neutral,False,1
486,1485,The editing? The vibes? Chef’s kiss  ,positive,True,2
423,1422,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
162,1161,This was kinda mid ngl ,negative,False,1
231,1230,"Certified slay, no notes  ",positive,False,1
85,1084,"This made my whole day better, tysm! ",positive,False,1
458,1457,Does it hurt? Though? ,neutral,False,1
474,1473,How are you real?? Unreal talent ,positive,False,1
10,1009,Ong you go girl. Don’t come back. ,negative,False,1
381,1380,"Solid attempt, could be better ",neutral,False,1
158,1157,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
228,1227,Ok but what’s the context here?,neutral,False,1
222,1221,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
311,1310,This gave me main character energy  ,positive,False,1
315,1314,Why are you so perfect? Are you a toaster?,positive,False,1
467,1466,"Meh, it’s fine I guess ",neutral,False,1
2,1001,Does it hurt? Though? ,neutral,False,1
68,1067,Worst thing on my FYP today ,negative,False,1
393,1392,That edit was painful to sit through ,negative,True,0
237,1236,Worst thing on my FYP today ,negative,False,1
490,1489,"Couldn’t finish watching, had to scroll",negative,True,0
232,1231,"Average content, nothing special ",neutral,False,1
452,1451,"Meh, it’s fine I guess ",neutral,False,1
120,1119,This was kinda mid ngl ,negative,False,1
178,1177,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
374,1373,"Drip is immaculate, I’m stealing this look  ",positive,False,1
246,1245,The editing? The vibes? Chef’s kiss  ,positive,True,2
307,1306,"Couldn’t finish watching, had to scroll ",negative,True,0
240,1239,That edit was painful to sit through ,negative,True,0
355,1354,"Didn’t hate it, didn’t love it ",neutral,False,1
213,1212,"Drip is immaculate, I’m stealing this look  ",positive,False,1
287,1286,Bro thought he ate  ,negative,False,1
123,1122,This was kinda mid ngl ,negative,False,1
144,1143,"Unwatchable, my eyes need therapy ",negative,True,0
420,1419,Your video just cured my depression. Do you take cash or card?,positive,False,1
494,1493,Ong you go girl. Don’t come back. ,negative,False,1
288,1287,Why are you so perfect? Are you a toaster? ,positive,False,1
141,1140,Why are you so perfect? Are you a toaster? ,positive,False,1
335,1334,"This made my whole day better, tysm! ",positive,False,1
416,1415,"Meh, it’s fine I guess ",neutral,False,1
462,1461,"Couldn’t finish watching, had to scroll ",negative,True,0
145,1144,"Couldn’t finish watching, had to scroll",negative,True,0
175,1174,Singing is a gift. U didn’t receive it. ,negative,False,1
371,1370,Does it hurt? Though? ,neutral,False,1
236,1235,Singing is a gift. U didn’t receive it. ,negative,False,1
102,1101,Your video just cured my depression. Do you take cash or card? ,positive,False,1
457,1456,This gave me main character energy  ,positive,False,1
89,1088,"Meh, it’s fine I guess ",neutral,False,1
303,1302,How are you real?? Unreal talent ,positive,False,1
444,1443,The editing? The vibes? Chef’s kiss  ,positive,True,2
346,1345,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
147,1146,"Drip is immaculate, I’m stealing this look  ",positive,False,1
40,1039,Why are you so perfect? Are you a toaster? ,positive,False,1
387,1386,This was kinda mid ngl ,negative,False,1
65,1064,"Certified slay, no notes ",positive,False,1
160,1159,Your video just cured my depression. Do you take cash or card? ,positive,False,1
386,1385,How are you real?? Unreal talent ,positive,False,1
353,1352,How are you real?? Unreal talent ,positive,False,1
425,1424,Does it hurt? Though? ,neutral,False,1
312,1311,"Meh, it’s fine I guess ",neutral,False,1
454,1453,The editing? The vibes? Chef’s kiss  ,positive,True,2
270,1269,This gave me main character energy  ,positive,False,1
42,1041,"Yo, dude, you won't believe what just happened. ",neutral,False,1
48,1047,Ong you go girl. Don’t come back. ,negative,False,1
368,1367,"Couldn’t finish watching, had to scroll ",negative,True,0
94,1093,Your video just cured my depression. Do you take cash or card? ,positive,False,1
281,1280,"Unwatchable, my eyes need therapy ",negative,True,0
77,1076,Worst thing on my FYP today ,negative,False,1
418,1417,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
384,1383,"Didn’t hate it, didn’t love it ",neutral,False,1
350,1349,This gave me main character energy  ,positive,False,1
491,1490,Worst thing on my FYP today ,negative,False,1
403,1402,The editing? The vibes? Chef’s kiss  ,positive,True,2
55,1054,Singing is a gift. U didn’t receive it. ,negative,False,1
378,1377,Why are you so perfect? Are you a toaster? ,positive,False,1
192,1191,"This made my whole day better, tysm! ",positive,False,1
72,1071,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
195,1194,Why are you so perfect? Are you a toaster? ,positive,False,1
484,1483,"Couldn’t finish watching, had to scroll",negative,True,0
235,1234,"Certified slay, no notes  ",positive,False,1
347,1346,Does it hurt? Though? ,neutral,False,1
450,1449,"Not bad, not great either",neutral,False,1
4,1003,"Didn’t hate it, didn’t love it ",neutral,False,1
96,1095,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
38,1037,The editing? The vibes? Chef’s kiss  ,positive,True,2
28,1027,"Drip is immaculate, I’m stealing this look  ",positive,False,1
258,1257,Why are you so perfect? Are you a toaster? ,positive,False,1
363,1362,"Yo, dude, you won't believe what just happened. ",neutral,False,1
495,1494,Bro thought he ate  ,negative,False,1
496,1495,"Solid attempt, could be better ",neutral,False,1
443,1442,Ong you go girl. Don’t come back. ,negative,False,1
316,1315,Your video just cured my depression. Do you take cash or card? ,positive,False,1
272,1271,"Certified slay, no notes  ",positive,False,1
295,1294,Worst thing on my FYP today ,negative,False,1
5,1004,This was kinda mid ngl ,negative,False,1
30,1029,Does it hurt? Though? ,neutral,False,1
187,1186,"Couldn’t finish watching, had to scroll ",negative,True,0
302,1301,Your video just cured my depression. Do you take cash or card? ,positive,False,1
273,1272,Bro thought he ate  ,negative,False,1
361,1360,The editing? The vibes? Chef’s kiss  ,positive,True,2
171,1170,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
70,1069,Singing is a gift. U didn’t receive it. ,negative,False,1
174,1173,"Couldn’t finish watching, had to scroll ",negative,True,0
385,1384,This gave me main character energy  ,positive,False,1
6,1005,Lowkey the best thing on my FYP today ,positive,False,1
156,1155,Pretty mid but I see the effort ,neutral,False,1
328,1327,That edit was painful to sit through ,negative,True,0
293,1292,How are you real?? Unreal talent,positive,False,1
91,1090,"Yo, dude, you won't believe what just happened.",neutral,False,1
294,1293,The editing? The vibes? Chef’s kiss  ,positive,True,2
481,1480,This gave me main character energy  ,positive,False,1
314,1313,Why are you so perfect? Are you a toaster? ,positive,False,1
354,1353,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
64,1063,This gave me main character energy  ,positive,False,1
12,1011,The editing? The vibes? Chef’s kiss  ,positive,True,2
296,1295,"Yo, dude, you won't believe what just happened. ",neutral,False,1
131,1130,Does it hurt? Though? ,neutral,False,1
138,1137,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
251,1250,Why are you so perfect? Are you a toaster? ,positive,False,1
254,1253,How are you real?? Unreal talent ,positive,False,1
19,1018,You had potential but wasted it ,negative,False,1
62,1061,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
428,1427,"Couldn’t finish watching, had to scroll",negative,True,0
445,1444,Ok but what’s the context here? ,neutral,False,1
21,1020,Lowkey the best thing on my FYP today ,positive,False,1
81,1080,That edit was painful to sit through ,negative,True,0
136,1135,The editing? The vibes? Chef’s kiss ,positive,True,2
271,1270,Pretty mid but I see the effort ,neutral,False,1
142,1141,This gave me main character energy  ,positive,False,1
401,1400,That edit was painful to sit through ,negative,True,0
430,1429,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
105,1104,Your video just cured my depression. Do you take cash or card? ,positive,False,1
320,1319,Pretty mid but I see the effort ,neutral,False,1
435,1434,How are you real?? Unreal talent ,positive,False,1
7,1006,You had potential but wasted it ,negative,False,1
140,1139,"Didn’t hate it, didn’t love it ",neutral,False,1
250,1249,"Solid attempt, could be better ",neutral,False,1
376,1375,Pretty mid but I see the effort ,neutral,False,1
84,1083,Your video just cured my depression. Do you take cash or card?,positive,False,1
51,1050,Why are you so perfect? Are you a toaster? ,positive,False,1
52,1051,"Didn’t hate it, didn’t love it ",neutral,False,1
429,1428,You had potential but wasted it ,negative,False,1
59,1058,"Solid attempt, could be better ",neutral,False,1
176,1175,"Average content, nothing special ",neutral,False,1
83,1082,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
198,1197,"Solid attempt, could be better ",neutral,False,1
204,1203,You had potential but wasted it ,negative,False,1
242,1241,The editing? The vibes? Chef’s kiss  ,positive,True,2
210,1209,"Meh, it’s fine I guess ",neutral,False,1
92,1091,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
186,1185,The editing? The vibes? Chef’s kiss  ,positive,True,2
259,1258,"Drip is immaculate, I’m stealing this look  ",positive,False,1
112,1111,Ok but what’s the context here? ,neutral,False,1
464,1463,"Not bad, not great either ",neutral,False,1
207,1206,"Didn’t hate it, didn’t love it ",neutral,False,1
279,1278,"Unwatchable, my eyes need therapy ",negative,True,0
22,1021,"Didn’t hate it, didn’t love it ",neutral,False,1
224,1223,Bro thought he ate  ,negative,False,1
17,1016,How are you real?? Unreal talent ,positive,False,1
388,1387,Lowkey the best thing on my FYP today,positive,False,1
15,1014,That edit was painful to sit through ,negative,True,0
206,1205,"Meh, it’s fine I guess ",neutral,False,1
104,1103,Pretty mid but I see the effort ,neutral,False,1
16,1015,"Average content, nothing special ",neutral,False,1
329,1328,"Drip is immaculate, I’m stealing this look  ",positive,False,1
86,1085,Your video just cured my depression. Do you take cash or card? ,positive,False,1
179,1178,Pretty mid but I see the effort,neutral,False,1
36,1035,"This made my whole day better, tysm! ",positive,False,1
433,1432,"This made my whole day better, tysm!",positive,False,1
431,1430,"Unwatchable, my eyes need therapy",negative,True,0
63,1062,"Meh, it’s fine I guess ",neutral,False,1
106,1105,"Not bad, not great either ",neutral,False,1
121,1120,Ong you go girl. Don’t come back. ,negative,False,1
298,1297,You had potential but wasted it ,negative,False,1
493,1492,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
139,1138,"Not bad, not great either ",neutral,False,1
409,1408,"This made my whole day better, tysm!",positive,False,1
167,1166,"Meh, it’s fine I guess ",neutral,False,1
47,1046,"Yo, dude, you won't believe what just happened. ",neutral,False,1
326,1325,The editing? The vibes? Chef’s kiss  ,positive,True,2
492,1491,I’m glad you’re coming out of your comfort zone — time to go back.,negative,False,1
20,1019,Ong you go girl. Don’t come back. ,negative,False,1
211,1210,"Couldn’t finish watching, had to scroll ",negative,True,0
146,1145,"Not bad, not great either ",neutral,False,1
216,1215,Does it hurt? Though? ,neutral,False,1
18,1017,"Solid attempt, could be better ",neutral,False,1
197,1196,That edit was painful to sit through ,negative,True,0
209,1208,"Solid attempt, could be better ",neutral,False,1
24,1023,"Not bad, not great either ",neutral,False,1
359,1358,"Couldn’t finish watching, had to scroll ",negative,True,0
489,1488,Why are you so perfect? Are you a toaster? ,positive,False,1
408,1407,"Certified slay, no notes ",positive,False,1
260,1259,Ok but what’s the context here? ,neutral,False,1
380,1379,"Solid attempt, could be better ",neutral,False,1
87,1086,"This made my whole day better, tysm! ",positive,False,1
284,1283,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
339,1338,Bro thought he ate  ,negative,False,1
128,1127,Lowkey the best thing on my FYP today ,positive,False,1
286,1285,Pretty mid but I see the effort ,neutral,False,1
394,1393,Bro thought he ate  ,negative,False,1
29,1028,The editing? The vibes? Chef’s kiss  ,positive,True,2
292,1291,You had potential but wasted it ,negative,False,1
124,1123,"Unwatchable, my eyes need therapy ",negative,True,0
321,1320,Ok but what’s the context here? ,neutral,False,1
269,1268,"Not bad, not great either ",neutral,False,1
97,1096,"Drip is immaculate, I’m stealing this look  ",positive,False,1
181,1180,The editing? The vibes? Chef’s kiss  ,positive,True,2
148,1147,Your video just cured my depression. Do you take cash or card? ,positive,False,1
54,1053,Worst thing on my FYP today ,negative,False,1
194,1193,How are you real?? Unreal talent ,positive,False,1
199,1198,Your video just cured my depression. Do you take cash or card? ,positive,False,1
109,1108,I’m glad you’re coming out of your comfort zone — time to go back.,negative,False,1
262,1261,Bro thought he ate ,negative,False,1
432,1431,"Yo, dude, you won't believe what just happened. ",neutral,False,1
229,1228,Your video just cured my depression. Do you take cash or card? ,positive,False,1
95,1094,Worst thing on my FYP today ,negative,False,1
134,1133,"Didn’t hate it, didn’t love it ",neutral,False,1
373,1372,That edit was painful to sit through ,negative,True,0
114,1113,Lowkey the best thing on my FYP today ,positive,False,1
366,1365,Worst thing on my FYP today ,negative,False,1
370,1369,"Not bad, not great either",neutral,False,1
275,1274,This gave me main character energy  ,positive,False,1
185,1184,Pretty mid but I see the effort ,neutral,False,1
182,1181,"Solid attempt, could be better ",neutral,False,1
456,1455,"Certified slay, no notes  ",positive,False,1
126,1125,"Solid attempt, could be better ",neutral,False,1
202,1201,Pretty mid but I see the effort ,neutral,False,1
337,1336,"Unwatchable, my eyes need therapy ",negative,True,0
13,1012,"Average content, nothing special ",neutral,False,1
125,1124,"Drip is immaculate, I’m stealing this look  ",positive,False,1
159,1158,"Certified slay, no notes  ",positive,False,1
475,1474,"Yo, dude, you won't believe what just happened. ",neutral,False,1
309,1308,You had potential but wasted it ,negative,False,1
291,1290,"Didn’t hate it, didn’t love it ",neutral,False,1
325,1324,"Drip is immaculate, I’m stealing this look  ",positive,False,1
369,1368,"Average content, nothing special",neutral,False,1
154,1153,Why are you so perfect? Are you a toaster?,positive,False,1
356,1355,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
245,1244,Lowkey the best thing on my FYP today ,positive,False,1
119,1118,Does it hurt? Though? ,neutral,False,1
241,1240,"Not bad, not great either ",neutral,False,1
319,1318,I’m glad you’re coming out of your comfort zone — time to go back.,negative,False,1
261,1260,You had potential but wasted it ,negative,False,1
219,1218,"Not bad, not great either ",neutral,False,1
107,1106,Does it hurt? Though?,neutral,False,1
497,1496,Does it hurt? Though? ,neutral,False,1
367,1366,Does it hurt? Though? ,neutral,False,1
44,1043,"Not bad, not great either ",neutral,False,1
79,1078,"Drip is immaculate, I’m stealing this look  ",positive,False,1
152,1151,"Didn’t hate it, didn’t love it ",neutral,False,1
180,1179,Ok but what’s the context here? ,neutral,False,1
205,1204,"This made my whole day better, tysm!",positive,False,1
151,1150,"Didn’t hate it, didn’t love it ",neutral,False,1
203,1202,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
249,1248,"Yo, dude, you won't believe what just happened. ",neutral,False,1
405,1404,Your video just cured my depression. Do you take cash or card? ,positive,False,1
73,1072,Ong you go girl. Don’t come back. ,negative,False,1
129,1128,Worst thing on my FYP today ,negative,False,1
465,1464,Ong you go girl. Don’t come back. ,negative,False,1
8,1007,"Average content, nothing special ",neutral,False,1
53,1052,This was kinda mid ngl ,negative,False,1
345,1344,That edit was painful to sit through ,negative,True,0
170,1169,Lowkey the best thing on my FYP today ,positive,False,1
265,1264,Does it hurt? Though? ,neutral,False,1
155,1154,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
278,1277,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
389,1388,"Drip is immaculate, I’m stealing this look  ",positive,False,1
324,1323,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
498,1497,Worst thing on my FYP today ,negative,False,1
149,1148,"This made my whole day better, tysm! ",positive,False,1
110,1109,This was kinda mid ngl ,negative,False,1
327,1326,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
280,1279,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
166,1165,"Didn’t hate it, didn’t love it ",neutral,False,1
3,1002,Worst thing on my FYP today ,negative,False,1
379,1378,Worst thing on my FYP today ,negative,False,1
220,1219,"Unwatchable, my eyes need therapy ",negative,True,0
23,1022,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
344,1343,Pretty mid but I see the effort,neutral,False,1
43,1042,Bro thought he ate  ,negative,False,1
41,1040,"Certified slay, no notes  ",positive,False,1
164,1163,"Couldn’t finish watching, had to scroll ",negative,True,0
257,1256,How are you real?? Unreal talent ,positive,False,1
117,1116,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
252,1251,This was kinda mid ngl ,negative,False,1
398,1397,"Solid attempt, could be better",neutral,False,1
74,1073,"Certified slay, no notes  ",positive,False,1
35,1034,Your video just cured my depression. Do you take cash or card?,positive,False,1
122,1121,Singing is a gift. U didn’t receive it. ,negative,False,1
472,1471,Ong you go girl. Don’t come back. ,negative,False,1
333,1332,Does it hurt? Though? ,neutral,False,1
133,1132,"Solid attempt, could be better",neutral,False,1
330,1329,Lowkey the best thing on my FYP today ,positive,False,1
358,1357,"Not bad, not great either ",neutral,False,1
440,1439,The editing? The vibes? Chef’s kiss  ,positive,True,2
266,1265,"Yo, dude, you won't believe what just happened. ",neutral,False,1
446,1445,"Meh, it’s fine I guess",neutral,False,1
9,1008,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
283,1282,The editing? The vibes? Chef’s kiss ,positive,True,2
424,1423,This was kinda mid ngl ,negative,False,1
372,1371,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
483,1482,Lowkey the best thing on my FYP today ,positive,False,1
157,1156,"This made my whole day better, tysm!",positive,False,1
285,1284,"Unwatchable, my eyes need therapy ",negative,True,0
383,1382,Your video just cured my depression. Do you take cash or card? ,positive,False,1
340,1339,"Unwatchable, my eyes need therapy ",negative,True,0
434,1433,Why are you so perfect? Are you a toaster?,positive,False,1
301,1300,"Drip is immaculate, I’m stealing this look  ",positive,False,1
150,1149,"Meh, it’s fine I guess ",neutral,False,1
338,1337,Bro thought he ate  ,negative,False,1
226,1225,Does it hurt? Though? ,neutral,False,1
58,1057,That edit was painful to sit through ,negative,True,0
31,1030,"Not bad, not great either ",neutral,False,1
308,1307,"Meh, it’s fine I guess ",neutral,False,1
27,1026,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
290,1289,This gave me main character energy  ,positive,False,1
300,1299,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
60,1059,Pretty mid but I see the effort ,neutral,False,1
193,1192,"Not bad, not great either ",neutral,False,1
78,1077,I’m glad you’re coming out of your comfort zone — time to go back. ,negative,False,1
478,1477,Singing is a gift. U didn’t receive it. ,negative,False,1
238,1237,"Yo, dude, you won't believe what just happened. ",neutral,False,1
306,1305,That edit was painful to sit through ,negative,True,0
365,1364,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
69,1068,"Unwatchable, my eyes need therapy ",negative,True,0
113,1112,Pretty mid but I see the effort,neutral,False,1
214,1213,This was kinda mid ngl ,negative,False,1
130,1129,Lowkey the best thing on my FYP today ,positive,False,1
45,1044,This was kinda mid ngl ,negative,False,1
500,1499,"Didn’t hate it, didn’t love it ",neutral,False,1
165,1164,Bro thought he ate  ,negative,False,1
201,1200,Lowkey the best thing on my FYP today ,positive,False,1
263,1262,"This made my whole day better, tysm! ",positive,False,1
188,1187,Does it hurt? Though? ,neutral,False,1
248,1247,Ok but what’s the context here? ,neutral,False,1
190,1189,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
349,1348,"Whoa, whoa, whoa, whoa, whoa.",neutral,False,1
184,1183,Your video just cured my depression. Do you take cash or card? ,positive,False,1
488,1487,This gave me main character energy  ,positive,False,1
485,1484,Worst thing on my FYP today ,negative,False,1
460,1459,"Unwatchable, my eyes need therapy",negative,True,0
137,1136,"Couldn’t finish watching, had to scroll ",negative,True,0
334,1333,"Couldn’t finish watching, had to scroll ",negative,True,0
143,1142,Singing is a gift. U didn’t receive it. ,negative,False,1
153,1152,Why are you so perfect? Are you a toaster? ,positive,False,1
297,1296,"Not bad, not great either",neutral,False,1
323,1322,"Drip is immaculate, I’m stealing this look  ",positive,False,1
487,1486,This was kinda mid ngl ,negative,False,1
382,1381,"Couldn’t finish watching, had to scroll ",negative,True,0
343,1342,"Solid attempt, could be better ",neutral,False,1
230,1229,"Unwatchable, my eyes need therapy ",negative,True,0
426,1425,Why are you so perfect? Are you a toaster? ,positive,False,1
50,1049,"Meh, it’s fine I guess ",neutral,False,1
1,1000,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
135,1134,Does it hurt? Though? ,neutral,False,1
67,1066,"This made my whole day better, tysm! ",positive,False,1
173,1172,"Yo, dude, you won't believe what just happened. ",neutral,False,1
436,1435,Your video just cured my depression. Do you take cash or card? ,positive,False,1
419,1418,"Yo, dude, you won't believe what just happened. ",neutral,False,1
391,1390,"Meh, it’s fine I guess ",neutral,False,1
305,1304,Singing is a gift. U didn’t receive it. ,negative,False,1
310,1309,The editing? The vibes? Chef’s kiss ,positive,True,2
80,1079,"Couldn’t finish watching, had to scroll ",negative,True,0
404,1403,Your video just cured my depression. Do you take cash or card? ,positive,False,1
191,1190,Does it hurt? Though? ,neutral,False,1
299,1298,"Not bad, not great either ",neutral,False,1
463,1462,Ok but what’s the context here? ,neutral,False,1
111,1110,"Couldn’t finish watching, had to scroll ",negative,True,0
115,1114,That edit was painful to sit through ,negative,True,0
