comment,sentiment_score,usefulness_score,usefulness_mentioned
Low effort. Didn’t learn anything — travel hack 🤯,-1.0,0.09,1
Crystal clear! Love the recipe 🐱,0.41,1.0,0
Genius idea! Love the recipe,0.46,0.82,0
Not bad art timelapse 💪,0.19,0.54,0
Loved this! Love the gaming clip ✨,0.6,0.83,0
Boring crypto explainer,-0.57,0.23,0
Kinda useful. kinda helpful for travel vlog,-0.04,0.4,1
Could be better workout 🔥,0.22,0.68,0
Brilliant! Love the art timelapse,0.45,0.99,0
I learned a lot. Super useful — music cover 😭,0.52,0.99,1
Cute!! Love the comedy skit 😭,0.44,0.97,0
Solid advice. Explained so well — garden tour,0.5,0.78,1
Super helpful! Love the motivation,0.87,0.9,0
Solid advice. This answered my question — AI demo 😅,0.54,0.81,1
Not bad language lesson 🤯,0.12,0.32,0
Well explained! Love the budget meal 👏,0.77,0.84,0
Inspiring! Love the music cover ✨,0.7,0.8,0
Boring. No real tips — AI demo 👏,-0.73,0.24,1
Thanks for sharing productivity,0.22,0.63,0
Too slow nail art,-0.96,0.34,0
This made my day. This helped a lot — book review 😍,0.9,0.95,1
Not bad tutorial 👍,0.18,0.66,0
Very entertaining! Love the comedy skit,0.93,0.88,0
Hmm. somewhat useful for college vlog,-0.06,0.65,1
So good!! Love the ASMR ✨,0.41,0.87,0
Wholesome. This answered my question — knitting,0.97,0.74,1
Well explained! Love the comedy skit 🎵,0.78,0.97,0
Okay I guess science experiment 👍,-0.05,0.41,0
Mixed feelings crypto explainer 📚,0.13,0.64,0
Impressive work. I learned something new — productivity,0.8,0.93,1
Terrible explanation hair tutorial 🤯,-0.6,0.39,0
Misleading cleaning hack 🐱,-0.58,0.15,0
Terrible explanation. Missing steps — nail art 🧠,-0.93,0.29,1
Solid advice. I can finally do this — basketball highlight 🎵,0.8,0.76,1
Impressive work. Taking notes — makeup,0.84,1.0,1
I’ll try this. kinda helpful for car mod ✨,0.14,0.55,1
Cute!! Love the dance,0.52,0.89,0
This is gold. This answered my question — workout 😭,0.92,0.92,1
Could be better tutorial,-0.0,0.42,0
Mixed feelings dog video 😅,-0.02,0.3,0
Boring AI demo 😍,-0.7,0.21,0
Life-changing tip. Taking notes — mindfulness,0.57,0.74,1
Not helpful AI demo 📚,-0.54,0.37,0
Cringe comedy skit 🤯,-0.49,0.36,0
Cute!. Clear and useful — dog video 🎵,0.9,0.91,1
Kinda useful life hack,0.14,0.52,0
Very entertaining! Love the movie recap 🤯,0.49,0.64,0
Could be better. kinda helpful for garden tour,-0.18,0.4,1
Okay I guess resume tips 👎,0.03,0.44,0
Clickbait. This won’t work — home decor 😭,-0.22,0.14,1
Too fast science experiment 👎,-0.84,0.21,0
Waste of time. No real tips — basketball highlight,-0.9,0.22,1
Wholesome! Love the language lesson 🙌,0.85,0.82,0
Genius idea. Bookmarked for later — history fact 💯,0.76,0.86,1
Hilarious. I learned something new — car mod,0.69,0.81,1
Kinda useful. somewhat useful for dance,0.02,0.65,1
Mixed feelings. somewhat useful for AI demo 🐱,0.16,0.65,1
Not bad. somewhat useful for product review,-0.14,0.44,1
Not bad. somewhat useful for crypto explainer 👎,0.12,0.47,1
Chef’s kiss. Saved me time — gaming clip 👍,0.8,0.94,1
Crystal clear. Saved me time — movie recap 👍,0.93,0.94,1
Annoying. Useless — study tips,-0.37,0.27,1
Hilarious. This helped a lot — photography 📚,0.87,0.93,1
Life-changing tip. Bookmarked for later — thrifting 📚,0.85,0.91,1
Overhyped street food,-0.33,0.2,0
Not bad. somewhat useful for car mod 👏,-0.07,0.55,1
Could be better. somewhat useful for parenting tip,-0.18,0.58,1
Well explained! Love the skincare 🔥,0.59,0.82,0
Brilliant! Love the photography 🧠,0.84,0.95,0
Chef’s kiss. Bookmarked for later — cleaning hack 🙌,0.63,0.96,1
Genius idea. This helped a lot — parenting tip 😴,0.72,0.9,1
Impressive work! Love the travel hack,0.47,0.99,0
Decent resume tips 🍳,0.23,0.5,0
I learned a lot! Love the budget meal,0.48,0.7,0
Hmm skincare 😂,0.09,0.44,0
Interesting productivity,0.28,0.46,0
Boring. Useless — dance,-0.27,0.08,1
Overhyped. This won’t work — skincare,-0.23,0.03,1
Very entertaining. Super useful — crypto explainer,0.59,0.99,1
I didn’t get it recipe,-0.39,0.04,0
Well explained! Love the recipe,0.55,0.98,0
Inspiring. Practical tip — study tips 💯,0.91,0.92,1
Misleading. Not useful — thrifting,-0.54,0.07,1
Boring life hack 😴,-0.54,0.16,0
Kinda useful fashion haul 🐶,-0.1,0.45,0
Not bad street food 👎,-0.16,0.7,0
Impressive work. Helped me fix it — science experiment,0.9,0.9,1
Decent. somewhat useful for fashion haul 👏,0.05,0.6,1
Loved this. Very helpful — motivation,0.55,0.77,1
Okay I guess movie recap 👎,-0.07,0.47,0
Life-changing tip. This helped a lot — home decor 🍳,0.76,0.96,1
I learned a lot! Love the motivation,0.82,0.61,0
Too slow thrifting,-0.28,0.14,0
I’ll try this music cover,-0.01,0.68,0
Inspiring! Love the crypto explainer 😅,0.47,0.92,0
Well explained! Love the basketball highlight 👎,0.43,0.8,0
Hmm product review 🔥,0.03,0.55,0
Annoying crypto explainer,-0.84,0.18,0
Mixed feelings. somewhat useful for garden tour 🧠,0.03,0.65,1
Very entertaining. Saved me time — garden tour,0.67,0.83,1
Could be better cooking fail,0.26,0.33,0
Crystal clear! Love the cleaning hack,0.7,0.99,0
Low effort car mod,-0.24,0.33,0
I didn’t get it. Still confused — life hack 👍,-0.61,0.06,1
Mixed feelings garden tour,0.2,0.62,0
Solid advice! Love the knitting 😬,0.89,0.85,0
Cringe photography 💪,-0.65,0.11,0
Overhyped comedy skit,-0.38,0.1,0
Interesting prank 💪,0.22,0.41,0
Thanks for sharing. somewhat useful for cleaning hack 🤔,0.2,0.47,1
Loved this! Love the science experiment,0.69,0.6,0
Mixed feelings music cover 🎵,-0.11,0.53,0
Chef’s kiss! Love the hair tutorial 😬,0.71,0.88,0
I didn’t get it. No real tips — finance advice 🤔,-1.0,0.03,1
I learned a lot! Love the product review,0.59,0.62,0
Boring knitting 🐶,-0.53,0.18,0
Hilarious. I learned something new — skincare 😬,0.99,0.78,1
Boring. Zero value — motivation,-0.84,0.27,1
Thanks for sharing. kinda helpful for ASMR 💯,0.09,0.69,1
Cute!. Explained so well — dog video 🔥,0.56,0.94,1
I learned a lot. Explained so well — hair tutorial 🐶,0.82,0.84,1
Interesting life hack,-0.09,0.41,0
Hmm language lesson,0.1,0.49,0
Genius idea! Love the history fact,0.86,0.87,0
So good!! Love the mindfulness,0.92,0.79,0
Clickbait productivity 😍,-0.46,0.28,0
Boring gaming clip,-0.92,0.16,0
Kinda useful. somewhat useful for skincare 🐱,0.28,0.58,1
Crystal clear! Love the resume tips,0.55,0.76,0
Interesting cooking fail 🐶,-0.18,0.33,0
Not bad basketball highlight,-0.07,0.63,0
Impressive work! Love the garden tour 😭,0.58,0.81,0
Decent. somewhat useful for finance advice 😂,-0.09,0.51,1
Interesting history fact,0.11,0.65,0
Crystal clear. Explained so well — car mod 😂,0.91,0.87,1
Cringe prank,-0.24,0.1,0
Thanks for sharing productivity,-0.07,0.41,0
Clickbait finance advice,-0.41,0.13,0
Loved this. Useful for beginners — skincare,0.5,0.81,1
Too slow travel hack 📚,-0.71,0.05,0
Waste of time skincare,-0.5,0.24,0
Super helpful! Love the product review 📚,0.61,0.99,0
So good!. Taking notes — science experiment 🤔,0.9,0.88,1
Cringe. Missing steps — finance advice,-0.87,0.06,1
Life-changing tip. Very helpful — gaming clip,0.96,0.87,1
Impressive work. This helped a lot — tutorial 😍,0.85,0.93,1
Misleading product review 😅,-0.45,0.05,0
Genius idea. Clear and useful — ASMR,0.61,0.91,1
Cute!! Love the cleaning hack,0.93,0.83,0
Clickbait cleaning hack 💯,-0.34,0.09,0
I didn’t get it. Didn’t explain the why — art timelapse,-0.59,0.06,1
Thanks for sharing. somewhat useful for makeup 👏,-0.11,0.55,1
Wholesome! Love the art timelapse 😴,0.8,0.63,0
Not bad history fact 🐶,0.23,0.59,0
Hilarious. Taking notes — home decor 🐶,0.51,0.94,1
Misleading travel hack,-0.43,0.05,0
Waste of time language lesson,-0.43,0.12,0
Very entertaining. Practical tip — dance 🙌,0.68,0.8,1
Annoying college vlog,-0.94,0.2,0
Okay I guess cat video,-0.05,0.61,0
Hmm. somewhat useful for photography,0.24,0.51,1
Amazing content! Love the gaming clip,0.84,0.92,0
Interesting prank 😅,0.24,0.58,0
Thanks for sharing art timelapse 👎,0.25,0.47,0
Waste of time. Not useful — AI demo 😴,-0.66,0.1,1
Well explained. This helped a lot — garden tour 🍳,0.89,0.98,1
Interesting. kinda helpful for productivity,0.19,0.45,1
I’ll try this. somewhat useful for workout,0.21,0.68,1
Kinda useful gaming clip 🤯,-0.18,0.55,0
Well explained! Love the history fact 🎵,0.61,0.85,0
Cringe. Didn’t help — history fact 😴,-0.55,0.13,1
Cute!! Love the crypto explainer 🧠,0.92,0.77,0
Life-changing tip. This helped a lot — cooking fail,0.9,0.79,1
Loved this. Very helpful — nail art,0.69,0.84,1
Okay I guess. somewhat useful for history fact,-0.08,0.54,1
Thanks for sharing motivation,-0.17,0.4,0
Could be better resume tips,0.12,0.52,0
Cringe recipe ✨,-0.94,0.08,0
Super helpful. This helped a lot — study tips 😅,0.85,0.71,1
Thanks for sharing resume tips 😭,-0.18,0.5,0
Could be better tutorial,-0.12,0.48,0
Too slow. No real tips — tech unboxing 🎵,-0.25,0.08,1
Hilarious. Exactly what I needed — cleaning hack,0.64,0.92,1
Misleading makeup,-0.76,0.04,0
Misleading. Still confused — knitting 🐱,-0.32,0.09,1
Okay I guess comedy skit,0.02,0.54,0
Mixed feelings prank,0.07,0.57,0
Too slow. Still confused — photography 📚,-0.47,0.16,1
Boring movie recap 📚,-0.44,0.23,0
Solid advice. Super useful — prank 😴,0.64,0.76,1
Thanks for sharing workout,0.27,0.64,0
Solid advice. Taking notes — product review,0.76,1.0,1
Okay I guess gaming clip,-0.08,0.62,0
Okay I guess. somewhat useful for tech unboxing,0.25,0.44,1
Hmm. kinda helpful for music cover 🎵,-0.1,0.61,1
Mixed feelings mindfulness 🐶,0.26,0.4,0
Hilarious! Love the history fact 💯,0.79,0.87,0
Too fast art timelapse 😬,-0.72,0.02,0
Clickbait dog video 😬,-0.79,0.26,0
Boring. Not helpful at all — comedy skit 😴,-0.91,0.11,1
I learned a lot. This helped a lot — productivity,0.54,0.79,1
Not bad resume tips 🙌,-0.08,0.35,0
Mixed feelings travel vlog 🐶,0.2,0.56,0
This is gold! Love the mindfulness 🤔,0.73,0.62,0
Okay I guess travel vlog,0.05,0.58,0
Waste of time car mod 😭,-0.45,0.27,0
Too fast. Still confused — cat video 😭,-0.21,0.01,1
Interesting. kinda helpful for cooking fail 🐱,0.06,0.58,1
Hmm science experiment,-0.02,0.61,0
Cute!. Super useful — hair tutorial,0.81,0.81,1
Boring. This won’t work — study tips,-0.96,0.25,1
Not bad. kinda helpful for tutorial ✨,0.18,0.4,1
Hilarious. I can finally do this — makeup,0.91,0.98,1
Loved this. Very helpful — gaming clip 👏,0.72,0.88,1
Terrible explanation. Not helpful at all — prank 😴,-0.84,0.05,1
Annoying travel vlog,-0.88,0.17,0
Hilarious! Love the parenting tip 😴,0.94,0.87,0
Okay I guess motivation 😅,-0.2,0.43,0
Clickbait science experiment,-0.97,0.22,0
This made my day! Love the nail art 😍,0.45,0.81,0
Decent product review,-0.02,0.69,0
Interesting life hack 🤔,0.06,0.45,0
I’ll try this. somewhat useful for AI demo 😍,0.09,0.67,1
Well explained. Clear and useful — life hack 🐶,0.84,0.75,1
Clickbait mindfulness,-0.91,0.13,0
This made my day. Clear and useful — recipe 😍,0.52,0.86,1
Crystal clear. I can finally do this — language lesson,0.62,0.81,1
Cute!! Love the mindfulness 💯,0.62,0.72,0
Low effort parenting tip 🍳,-0.68,0.11,0
