comment,sentiment_score,usefulness_score,usefulness_mentioned
waste of time. no real tips basketball highlight,-0.9,0.22,1
wholesome! love the language lesson,0.85,0.82,0
genius idea. bookmarked for later history fact,0.76,0.86,1
hilarious. i learned something new car mod,0.69,0.81,1
kinda useful. somewhat useful for dance,0.02,0.65,1
mixed feelings. somewhat useful for ai demo,0.16,0.65,1
not bad. somewhat useful for product review,-0.14,0.44,1
not bad. somewhat useful for crypto explainer,0.12,0.47,1
chefs kiss. saved me time gaming clip,0.8,0.94,1
crystal clear. saved me time movie recap,0.93,0.94,1
annoying. useless study tips,-0.37,0.27,1
hilarious. this helped a lot photography,0.87,0.93,1
lifechanging tip. bookmarked for later thrifting,0.85,0.91,1
overhyped street food,-0.33,0.2,0
not bad. somewhat useful for car mod,-0.07,0.55,1
could be better. somewhat useful for parenting tip,-0.18,0.58,1
well explained! love the skincare,0.59,0.82,0
brilliant! love the photography,0.84,0.95,0
chefs kiss. bookmarked for later cleaning hack,0.63,0.96,1
genius idea. this helped a lot parenting tip,0.72,0.9,1
impressive work! love the travel hack,0.47,0.99,0
decent resume tips,0.23,0.5,0
i learned a lot! love the budget meal,0.48,0.7,0
hmm skincare,0.09,0.44,0
interesting productivity,0.28,0.46,0
boring. useless dance,-0.27,0.08,1
overhyped. this wont work skincare,-0.23,0.03,1
very entertaining. super useful crypto explainer,0.59,0.99,1
i didnt get it recipe,-0.39,0.04,0
well explained! love the recipe,0.55,0.98,0
inspiring. practical tip study tips,0.91,0.92,1
misleading. not useful thrifting,-0.54,0.07,1
boring life hack,-0.54,0.16,0
kinda useful fashion haul,-0.1,0.45,0
not bad street food,-0.16,0.7,0
impressive work. helped me fix it science experiment,0.9,0.9,1
decent. somewhat useful for fashion haul,0.05,0.6,1
loved this. very helpful motivation,0.55,0.77,1
okay i guess movie recap,-0.07,0.47,0
lifechanging tip. this helped a lot home decor,0.76,0.96,1
i learned a lot! love the motivation,0.82,0.61,0
too slow thrifting,-0.28,0.14,0
ill try this music cover,-0.01,0.68,0
inspiring! love the crypto explainer,0.47,0.92,0
well explained! love the basketball highlight,0.43,0.8,0
hmm product review,0.03,0.55,0
annoying crypto explainer,-0.84,0.18,0
mixed feelings. somewhat useful for garden tour,0.03,0.65,1
very entertaining. saved me time garden tour,0.67,0.83,1
could be better cooking fail,0.26,0.33,0
crystal clear! love the cleaning hack,0.7,0.99,0
low effort car mod,-0.24,0.33,0
i didnt get it. still confused life hack,-0.61,0.06,1
mixed feelings garden tour,0.2,0.62,0
solid advice! love the knitting,0.89,0.85,0
cringe photography,-0.65,0.11,0
overhyped comedy skit,-0.38,0.1,0
interesting prank,0.22,0.41,0
thanks for sharing. somewhat useful for cleaning hack,0.2,0.47,1
loved this! love the science experiment,0.69,0.6,0
mixed feelings music cover,-0.11,0.53,0
chefs kiss! love the hair tutorial,0.71,0.88,0
i didnt get it. no real tips finance advice,-1.0,0.03,1
i learned a lot! love the product review,0.59,0.62,0
boring knitting,-0.53,0.18,0
hilarious. i learned something new skincare,0.99,0.78,1
boring. zero value motivation,-0.84,0.27,1
thanks for sharing. kinda helpful for asmr,0.09,0.69,1
cute!. explained so well dog video,0.56,0.94,1
i learned a lot. explained so well hair tutorial,0.82,0.84,1
interesting life hack,-0.09,0.41,0
hmm language lesson,0.1,0.49,0
genius idea! love the history fact,0.86,0.87,0
so good!! love the mindfulness,0.92,0.79,0
clickbait productivity,-0.46,0.28,0
boring gaming clip,-0.92,0.16,0
kinda useful. somewhat useful for skincare,0.28,0.58,1
crystal clear! love the resume tips,0.55,0.76,0
interesting cooking fail,-0.18,0.33,0
not bad basketball highlight,-0.07,0.63,0
impressive work! love the garden tour,0.58,0.81,0
decent. somewhat useful for finance advice,-0.09,0.51,1
interesting history fact,0.11,0.65,0
crystal clear. explained so well car mod,0.91,0.87,1
cringe prank,-0.24,0.1,0
thanks for sharing productivity,-0.07,0.41,0
clickbait finance advice,-0.41,0.13,0
loved this. useful for beginners skincare,0.5,0.81,1
too slow travel hack,-0.71,0.05,0
waste of time skincare,-0.5,0.24,0
super helpful! love the product review,0.61,0.99,0
so good!. taking notes science experiment,0.9,0.88,1
cringe. missing steps finance advice,-0.87,0.06,1
lifechanging tip. very helpful gaming clip,0.96,0.87,1
impressive work. this helped a lot tutorial,0.85,0.93,1
misleading product review,-0.45,0.05,0
genius idea. clear and useful asmr,0.61,0.91,1
cute!! love the cleaning hack,0.93,0.83,0
clickbait cleaning hack,-0.34,0.09,0
i didnt get it. didnt explain the why art timelapse,-0.59,0.06,1
thanks for sharing. somewhat useful for makeup,-0.11,0.55,1
wholesome! love the art timelapse,0.8,0.63,0
not bad history fact,0.23,0.59,0
hilarious. taking notes home decor,0.51,0.94,1
misleading travel hack,-0.43,0.05,0
waste of time language lesson,-0.43,0.12,0
very entertaining. practical tip dance,0.68,0.8,1
annoying college vlog,-0.94,0.2,0
okay i guess cat video,-0.05,0.61,0
hmm. somewhat useful for photography,0.24,0.51,1
amazing content! love the gaming clip,0.84,0.92,0
interesting prank,0.24,0.58,0
thanks for sharing art timelapse,0.25,0.47,0
waste of time. not useful ai demo,-0.66,0.1,1
well explained. this helped a lot garden tour,0.89,0.98,1
interesting. kinda helpful for productivity,0.19,0.45,1
ill try this. somewhat useful for workout,0.21,0.68,1
kinda useful gaming clip,-0.18,0.55,0
well explained! love the history fact,0.61,0.85,0
cringe. didnt help history fact,-0.55,0.13,1
cute!! love the crypto explainer,0.92,0.77,0
lifechanging tip. this helped a lot cooking fail,0.9,0.79,1
loved this. very helpful nail art,0.69,0.84,1
okay i guess. somewhat useful for history fact,-0.08,0.54,1
thanks for sharing motivation,-0.17,0.4,0
could be better resume tips,0.12,0.52,0
cringe recipe,-0.94,0.08,0
super helpful. this helped a lot study tips,0.85,0.71,1
thanks for sharing resume tips,-0.18,0.5,0
could be better tutorial,-0.12,0.48,0
too slow. no real tips tech unboxing,-0.25,0.08,1
hilarious. exactly what i needed cleaning hack,0.64,0.92,1
misleading makeup,-0.76,0.04,0
misleading. still confused knitting,-0.32,0.09,1
okay i guess comedy skit,0.02,0.54,0
mixed feelings prank,0.07,0.57,0
too slow. still confused photography,-0.47,0.16,1
boring movie recap,-0.44,0.23,0
solid advice. super useful prank,0.64,0.76,1
thanks for sharing workout,0.27,0.64,0
solid advice. taking notes product review,0.76,1.0,1
okay i guess gaming clip,-0.08,0.62,0
okay i guess. somewhat useful for tech unboxing,0.25,0.44,1
hmm. kinda helpful for music cover,-0.1,0.61,1
mixed feelings mindfulness,0.26,0.4,0
hilarious! love the history fact,0.79,0.87,0
too fast art timelapse,-0.72,0.02,0
clickbait dog video,-0.79,0.26,0
boring. not helpful at all comedy skit,-0.91,0.11,1
i learned a lot. this helped a lot productivity,0.54,0.79,1
not bad resume tips,-0.08,0.35,0
mixed feelings travel vlog,0.2,0.56,0
this is gold! love the mindfulness,0.73,0.62,0
okay i guess travel vlog,0.05,0.58,0
waste of time car mod,-0.45,0.27,0
too fast. still confused cat video,-0.21,0.01,1
interesting. kinda helpful for cooking fail,0.06,0.58,1
hmm science experiment,-0.02,0.61,0
cute!. super useful hair tutorial,0.81,0.81,1
boring. this wont work study tips,-0.96,0.25,1
not bad. kinda helpful for tutorial,0.18,0.4,1
hilarious. i can finally do this makeup,0.91,0.98,1
loved this. very helpful gaming clip,0.72,0.88,1
terrible explanation. not helpful at all prank,-0.84,0.05,1
annoying travel vlog,-0.88,0.17,0
hilarious! love the parenting tip,0.94,0.87,0
okay i guess motivation,-0.2,0.43,0
clickbait science experiment,-0.97,0.22,0
this made my day! love the nail art,0.45,0.81,0
decent product review,-0.02,0.69,0
interesting life hack,0.06,0.45,0
ill try this. somewhat useful for ai demo,0.09,0.67,1
well explained. clear and useful life hack,0.84,0.75,1
clickbait mindfulness,-0.91,0.13,0
this made my day. clear and useful recipe,0.52,0.86,1
crystal clear. i can finally do this language lesson,0.62,0.81,1
cute!! love the mindfulness,0.62,0.72,0
low effort parenting tip,-0.68,0.11,0
loved this! love the comedy skit,0.49,0.91,0
i didnt get it. zero value tutorial,-0.44,0.1,1
well explained! love the home decor,0.95,0.85,0
low effort asmr,-0.58,0.15,0
genius idea! love the parenting tip,0.7,0.9,0
confusing college vlog,-0.29,0.29,0
crystal clear. taking notes nail art,0.79,0.72,1
lifechanging tip! love the product review,0.55,0.72,0
chefs kiss! love the product review,0.92,0.93,0
hilarious. explained so well knitting,1.0,0.96,1
so good!. useful for beginners art timelapse,0.71,0.89,1
too slow tech unboxing,-0.98,0.06,0
clickbait. didnt help makeup,-0.65,0.04,1
cringe. not helpful at all recipe,-0.95,0.18,1
not helpful finance advice,-0.3,0.02,0
could be better. somewhat useful for makeup,0.13,0.64,1
kinda useful cleaning hack,0.14,0.33,0
brilliant. practical tip parenting tip,0.83,0.83,1
interesting knitting,0.12,0.48,0
inspiring! love the hair tutorial,0.99,0.93,0
brilliant! love the workout,0.62,0.7,0
clickbait. no real tips ai demo,-0.37,0.22,1
genius idea. explained so well home decor,0.94,0.92,1
decent. kinda helpful for ai demo,-0.14,0.44,1
hmm ai demo,-0.01,0.54,0
annoying home decor,-0.57,0.12,0
cute!! love the art timelapse,0.51,0.66,0
confusing dance,-0.66,0.36,0
brilliant. saved me time asmr,0.79,0.83,1
crystal clear! love the life hack,0.55,0.82,0
wholesome. i can finally do this street food,0.89,0.92,1
super helpful. super useful art timelapse,0.8,0.72,1
misleading. didnt help finance advice,-0.55,0.03,1
decent. kinda helpful for motivation,0.09,0.54,1
not helpful. missing steps coding,-0.73,0.15,1
misleading tutorial,-0.65,0.32,0
kinda useful basketball highlight,0.04,0.5,0
amazing content! love the asmr,0.53,0.86,0
this made my day. practical tip skincare,0.52,0.85,1
super helpful. clear and useful nail art,0.87,0.85,1
genius idea. practical tip life hack,0.59,1.0,1
very entertaining. useful for beginners home decor,0.73,0.95,1
annoying. not useful tutorial,-0.82,0.23,1
interesting nail art,-0.05,0.33,0
misleading garden tour,-0.33,0.14,0
brilliant! love the workout,0.88,0.8,0
thanks for sharing thrifting,-0.12,0.39,0
decent thrifting,0.24,0.62,0
loved this! love the dog video,0.58,0.75,0
ill try this. somewhat useful for cat video,-0.01,0.61,1
misleading. zero value movie recap,-0.86,0.0,1
cringe. zero value gaming clip,-0.8,0.04,1
this made my day! love the book review,0.55,0.72,0
lifechanging tip! love the finance advice,0.9,0.7,0
very entertaining. i can finally do this resume tips,0.79,0.77,1
genius idea. exactly what i needed dog video,0.54,0.8,1
confusing thrifting,-0.49,0.07,0
loved this! love the garden tour,0.6,0.7,0
mixed feelings. kinda helpful for travel vlog,0.02,0.6,1
annoying art timelapse,-0.26,0.24,0
annoying history fact,-0.51,0.18,0
inspiring. practical tip crypto explainer,0.9,0.75,1
brilliant! love the nail art,0.46,0.71,0
could be better. kinda helpful for asmr,-0.16,0.4,1
terrible explanation cooking fail,-0.54,0.23,0
confusing book review,-0.34,0.33,0
amazing content. useful for beginners recipe,0.65,0.85,1
could be better movie recap,-0.02,0.46,0
okay i guess movie recap,0.1,0.68,0
mixed feelings prank,0.26,0.68,0
too slow. didnt learn anything movie recap,-0.88,0.06,1
not bad. somewhat useful for gaming clip,-0.09,0.66,1
okay i guess science experiment,-0.11,0.39,0
overhyped. no real tips comedy skit,-0.25,0.12,1
cringe. zero value car mod,-0.25,0.09,1
terrible explanation. not helpful at all basketball highlight,-0.62,0.24,1
inspiring! love the recipe,0.7,0.88,0
misleading. this wont work productivity,-0.28,0.21,1
kinda useful garden tour,-0.05,0.37,0
loved this! love the college vlog,0.62,0.63,0
thanks for sharing college vlog,0.26,0.5,0
waste of time. zero value book review,-0.77,0.13,1
could be better dog video,-0.11,0.38,0
overhyped productivity,-0.74,0.23,0
impressive work. useful for beginners fashion haul,0.6,0.85,1
okay i guess product review,0.13,0.48,0
loved this. taking notes cleaning hack,0.68,0.96,1
